abholen;to pick, fetch;holt ab;hat abgeholt;;;Schwäche Verben
absagen;tell, say;sagt ab;hat abgesagt;;;Schwäche Verben
abstellen;to put, to place;stellt ab;hat abgestellt;;;Schwäche Verben
achten;to respect, to mind, to watch;achtet;hat geachtet;;;Schwäche Verben
anfordern;to request, to require, to ask;fordert an;hat angefordert;;;Schwäche Verben
angeln;fishing;angelt;hat geangelt;;;Schwäche Verben
anklicken;to click;klickt an;hat angeklickt;;;Schwäche Verben
ankreuzen;to mark, to tick off;kreuzt an;hat angekreuzt;;;Schwäche Verben
anmachen;to make, to mix;macht an;hat angemacht;;;Schwäche Verben
anschalten;turn on, to put on, to switch on;schaltet an;hat angeschaltet;;;Schwäche Verben
anschauen;to look at, to view;schaut an;hat angeschaut;;;Schwäche Verben
arbeiten;to work;arbeitet;hat gearbeitet;;;Schwäche Verben
atmen;to breathe;atmet;hat geatmet;;;Schwäche Verben
aufmachen;to open, to start;macht auf;hat aufgemacht;;;Schwäche Verben
aufträumen;to clean up, to put away;räumt auf;hat aufgeräumt;;;Schwäche Verben
auftauchen;to appear, to raise;taucht auf;ist aufgetaucht;;;Schwäche Verben
aufwachen;to wakeup;wacht auf;ist aufgewacht;;;Schwäche Verben
ausfüllen;to fill in;füllt aus;hat ausgefüllt;;;Schwäche Verben
ausmachen;to turn off, to switch off, to arrange;macht aus;hat ausgemacht;;;Schwäche Verben
auspacken;to unpack;packt aus;hat ausgepackt;;;Schwäche Verben
ausschalten;to switch off, break, disconnection;schaltet aus;hat ausgeschaltet;;;Schwäche Verben
aussuchen;to choose, to select;sucht aus;hat ausgesucht;;;Schwäche Verben
austauschen;to change, to interchange;tauscht aus;hat ausgetauscht;;;Schwäche Verben
auswählen;to choose, to select, to elect;wählt aus;hat ausgewählt;;;Schwäche Verben
baden;to bath;badet;hat gebadet;;;Schwäche Verben
beachten;to consider, to follow;beachtet;hat beachtet;;;Schwäche Verben
bedeuten;to mean something, to imply;bedeutet;hat bedeutet;;;Schwäche Verben
bemalen;to paint;bemalt;hat bemalt;;;Schwäche Verben
benutzen;to use, to make use of;benutzt;hat benutzt;;;Schwäche Verben
berichten;to report, to tell, to cover;berichtet;hat berichtet;;;Schwäche Verben
beschmutzen;"to get dirty			";beschmutzt;hat beschmutzt;;;Schwäche Verben
besichtigen;to inspect, to visit;besichtigt;hat beischtigt;;;Schwäche Verben
bestellen;to order, to reserve, to appoint;bestellt;hat bestellt;;;Schwäche Verben
besuchen;to go and see, to visit;besucht;hat besucht;;;Schwäche Verben
beten;"to pray			";betet;hat gebetet;;;Schwäche Verben
betrachten;to consider, to view;betrachtet;hat betrachtet;;;Schwäche Verben
bezahlen;to pay, to settle;bezahlt;hat bezahlt;;;Schwäche Verben
bilden;to form;bildet;hat gebildet;;;Schwäche Verben
bluten;to bleed, to flush;blutet;hat geblutet;;;Schwäche Verben
brauchen;to need, to require, to want, to use;braucht;hat gebraucht;;;Schwäche Verben
buchen;booking, accounting;bucht;hat gebucht;;;Schwäche Verben
buchstabieren;to spell;buchstabiert;hat buchstabiert;;;Schwäche Verben
bügeln;to iron;bügelt;hat gebügelt;;;Schwäche Verben
danken;to thank;dankt;hat gedankt;;;Schwäche Verben
dauern;to last, to take long;dauert;hat gedauert;;;Schwäche Verben
diskutieren;to debate, to discuss;diskutiert;hat diskutiert;;;Schwäche Verben
drucken;printing;druckt;hat gedruckt;;;Schwäche Verben
drücken;hit, push, hug, press;drückt;hat gedrückt;;;Schwäche Verben
duschen;to shower;duscht;hat geduscht;;;Schwäche Verben
einkaufen;to shop;kauft ein;hat eingekauft;;;Schwäche Verben
einpacken;to pack, to wrap;packt ein;hat eingepackt;;;Schwäche Verben
einsetzen;initiation, introduction;setzt ein;hat eingesetzt;;;Schwäche Verben
eintauchen;to plunge, to steep;taucht ein;ist eingetaucht;;;Schwäche Verben
entschuldigen;to apologize;entschuldigt;hat entschuldigt;;;Schwäche Verben
ergänzen;to add, to complete;ergänzt;hat ergänzt;;;Schwäche Verben
erklären;to explain;erklärt;hat erklärt;;;Schwäche Verben
erlauben;to allow, to permit;erlaubt;hat erlaubt;;;Schwäche Verben
erreichen;to catch, to win, to accompish;erreicht;hat erreicht;;;Schwäche Verben
erteilen;to grant, to issue;erteilt;hat erteilt;;;Schwäche Verben
erweitern;to dilute, to widen;erweitert;hat erweitert;;;Schwäche Verben
erzählen;to tell, to narrate;erzählt;hat erzählt;;;Schwäche Verben
fehlen;to lack, to be absent;fehlt;hat gefehlt;;;Schwäche Verben
feiern;feasting, party;feiert;hat gefeiert;;;Schwäche Verben
formulieren;to put, to devise, to draft;formuliert;hat formuliert;;;Schwäche Verben
fotografieren;to photograph;fotografiert;hat fotografiert;;;Schwäche Verben
fragen;to ask, to wonder, to query;fragt;hat gefragt;;;Schwäche Verben
freuen;to be glad, to rejoice;freut;hat gefreut;;;Schwäche Verben
füllen;charging, restock;füllt aus;hat gefüllt;;;Schwäche Verben
funktionieren;;funktioniert;hat funktioniert;;;Schwäche Verben
füttern;;füttert;hat gefüttert;;;Schwäche Verben
glauben;;glaubt;hat geglaubt;;;Schwäche Verben
gratulieren (CH);;gratuliert;hat gratuliert;;;Schwäche Verben
grillen;;grillt;hat gegrillt;;;Schwäche Verben
grilleren;;grilliert;hat grilliert;;;Schwäche Verben
haben;;hat;hat gehabt;;;Schwäche Verben
hängen;;hängt;hat gehängt (wohin?);;;Schwäche Verben
heiraten;;heiratet;hat geheiratet;;;Schwäche Verben
holen;;holt;hat geholt;;;Schwäche Verben
hören;;hört;hat gehört;;;Schwäche Verben
joggen;;joggt;ist gejoggt;;;Schwäche Verben
kaufen;;kauft ein;hat gekauft;;;Schwäche Verben
klären;;klärt;hat geklärt;;;Schwäche Verben
klingeln;;klingelt (ich klingle);hat geklingelt;;;Schwäche Verben
kochen;;kocht;hat gekocht;;;Schwäche Verben
kontrollieren;;kontrolliert;hat kontrolliert;;;Schwäche Verben
konzentrieren;;konzentriert;hat konzentriert;;;Schwäche Verben
korrigieren;;korrigiert;hat korrigiert;;;Schwäche Verben
kosten;;kostet;hat gekostet;;;Schwäche Verben
kümmern;;kümmert;hat gekümmert;;;Schwäche Verben
küssen;;küsst;hat geküsst;;;Schwäche Verben
lächeln;;lächelt;hat gelächelt;;;Schwäche Verben
lachen;;lacht;hat gelacht;;;Schwäche Verben
leben;;lebt;hat gelebt;;;Schwäche Verben
legen;;legt;hat gelegt;;;Schwäche Verben
lernen;;lernt;hat gelernt;;;Schwäche Verben
lieben;;liebt;hat geliebt;;;Schwäche Verben
lösen;;löst;hat gelöst;;;Schwäche Verben
machen;;macht;hat gemacht;;;Schwäche Verben
malen;;malt;hat gemalt;;;Schwäche Verben
markieren;;markiert;hat markiert;;;Schwäche Verben
meinen;;meint;hat gemeint;;;Schwäche Verben
meiten;;mietet;hat gemietet;;;Schwäche Verben
mitarbeiten;;arbeitet mit;hat mitgearbeitet;;;Schwäche Verben
mitmachen;;macht mit;hat mitgemacht;;;Schwäche Verben
nacherzählen;;erzählt nach;hat nacherzählt;;;Schwäche Verben
nachspielen;;spielt nach;hat nachgespielt;;;Schwäche Verben
nähen;;näht;hat genäht;;;Schwäche Verben
naschen;;nascht;hat genascht;;;Schwäche Verben
