"Baby	";"Baby	";"das	";"Babys	";;;Nomen
Bank;"	Bank	";"die	";"Banken	";;;Nomen
"Blume	";"Flower	";"die	";"Blumen	";;;Nomen
"Bus	";"Bus	";"der	";"Busse	";;;Nomen
"Film	";"Film	";"der	";"Filme	";;;Nomen
"Frau	";"Woman	";"die	";"Frauen	";;;Nomen
"Geschenk	";"Gift	";"das	";"Geshenke	";;;Nomen
"Gleis	";"Platform	";"das	";"Gleise	";;;Nomen
"Herr	";"Man	";"der	";"Herren	";;;Nomen
"Hotel	";"Hotel	";"das	";"Hotels	";;;Nomen
"Information	";"Information	";"die	";"Informationen	";;;Nomen
"Junge	";"Boy	";"der	";"Jungen	";;;Nomen
Mädchen;-;das;;;;Nomen
"Mama	";"Mom	";"die	";"Mamas	";;;Nomen
"Moment	";"Moment	";"der	";"Momente	";;;Nomen
"Nachname	";"Last name	";"der	";"Nachnamen	";;;Nomen
"Name	";"Name	";"der	";"Namen	";;;Nomen
"Polizistin	";"Policeman/woman	";"die	";"Polizistinnen	";;;Nomen
"Reise	";"Trip	";"die	";"Reisen	";;;Nomen
"Reporter	";"Reporter	";"der	";"-	";;;Nomen
"Saft	";"Juice	";"der	";"Säfte	";;;Nomen
"Sängerin	";"Singer	";"die	";"Sängerinnen	";;;Nomen
"Tag	";"Day	";"der	";"Tage	";;;Nomen
"Taxi	";"Taxi	";"das	";"Taxis	";;;Nomen
"Telefon	";"Telefon	";"das	";"Telefone	";;;Nomen
"Toilette	";"Toilet	";"die	";"Toiletten	";;;Nomen
"Tourist	";"Tourist	";"der	";"Touristen	";;;Nomen
"Touristin	";"Tourist""";die    ;"Touristinnen""";;;Nomen
"Uhr	";"Clock	";"die	";"Uhren	";;;Nomen
"Verkäuferin	";"Sales man/woman	";"die	";"Verkäuferinnen	";;;Nomen
"Vorname	";"First name	";"der	";"Vornamen	";;;Nomen
"Zeitung	";"Newspaper	";"die	";"Zeitungen	";;;Nomen
"Zentrum	";"center	";"das	";"Zentren	";;;Nomen
"Zoo	";"zoo	";"der	";"Zoos	";;;Nomen
"Zug	";"Train	";"der	";"Züge	";;;Nomen
"Anrufbeantworter	";"answering machine	";"der	";"-	";;;Nomen
"Batterie	";"batterie	";"die	";"Batterien	";;;Nomen
"Computer	";"Computer	";"der	";"-	";;;Nomen
"Deckel	";"Lid/cap	";"der	";"-	";;;Nomen
"DVD-Recorder	";"DVD recorder	";"der	";"-	";;;Nomen
"Fahrrad	";"bicycle	";"das	";"Fahrräder	";;;Nomen
"Fernsehgerät	";"TV set	";"das	";"Fernsehgeräte	";;;Nomen
"Feuerzeug	";"lighter	";"das	";"Feuerzeuge	";;;Nomen
"Fotoapparat	";"camara	";"der	";"Fotoapparate	";;;Nomen
"Gabel	";"fork	";"die	";"Gablen	";;;Nomen
